pl_name,hostname,pl_rade,pl_masse,pl_dens,pl_orbsmax,pl_orbper,st_mass,st_teff,st_rad,st_lum,pl_orbeccen,sy_dist,glon,glat,planet_type,hz_start_con,hz_end_con,hz_start_opt,hz_end_opt,in_hz,hz_dist,X_gal,Y_gal,Z_gal,pl_seff
HAT-P-17 b,HAT-P-17,11.76945,184.3414,0.6234780070720829,0.0925685255650866,10.33852,0.99,5246.0,0.87,-0.28935970342754014,0.35,92.3831,80.8515,-16.17689,Gas-giant,0.5495387233611544,1.3317214179773111,0.7217591592405308,1.28056391547248,Too_hot,0.6291906336754443,14.106775655790532,87.59667272181484,-25.738278385984845,59.93956736139481
HAT-P-18 b,HAT-P-18,11.153,62.61,0.25,0.0559,5.508023,0.77,4803.0,0.749,-0.569,0.084,161.4,55.652,35.56176,Gas-giant,0.4050527472599321,1.0028415567244624,0.5350569293364279,0.9643088213283323,Too_hot,0.4791569293364279,74.08019957617587,108.40232038755245,93.86703875881238,86.33291087921891
HAT-P-20 b,HAT-P-20,9.718,2302.899,13.78,0.0361,2.875317,0.756,4595.0,0.694,-0.721,0.015,71.0374,194.41535,18.39436,Mega-Earth,0.34254841832606564,0.8565604953999316,0.4531951211030955,0.8236446648672251,Too_hot,0.4170951211030955,-65.28565536045032,-16.7811521336743,22.41625160420409,145.8765878042142
HAT-P-21 b,HAT-P-21,12.44199,1547.8321,4.43119709096305,0.05407535713377152,4.12448,1.24,5588.0,1.21,0.10688497671936119,0.23,277.278,169.32461,67.4636,Mega-Earth,0.8554109963184074,2.0394525474705,1.1163095363150222,1.9611210446002998,Too_hot,1.0622341791812506,-104.4331062627122,19.68638585371079,256.1040058498498,437.40745830871197
HAT-P-22 b,HAT-P-22,12.89035,785.0401,2.0209914415237895,0.04437881507874397,3.21222,1.13,5302.0,1.11,-0.059306502520502874,0.02,81.7647,163.64677,53.56645,Icy-Solid,0.7145989442599365,1.7270530478417778,0.9376624025697028,1.660710937229367,Too_hot,0.8932835874909588,-46.59473895286429,13.67225786262047,65.78347689916096,442.93713562264605
HAT-P-23 b,HAT-P-23,15.334,664.237,1.01,0.0232,1.212884,1.13,5905.0,1.203,0.199,0.106,364.813,58.93637,-11.83428,Gas-giant,0.9390363683737942,2.2066686174422565,1.2167993752394337,2.1219268019442743,Too_hot,1.1935993752394336,184.23868419237058,305.854752476249,-74.81645944413822,2937.8122013792795
HAT-P-24 b,HAT-P-24,14.5717,238.3725,0.4248075714160494,0.048715662846719625,3.35524,1.37,6373.0,1.38,0.4494224930398201,0.07,415.344,202.73799,11.65314,Gas-giant,1.230298773043277,2.835305633108504,1.5759687248940302,2.7264427286525947,Too_hot,1.5272530620473106,-375.1687067399891,-157.22883446299517,83.89382237359382,1186.0015613908433
HAT-P-25 b,HAT-P-25,12.722215,180.84527,0.483,0.0466,3.65281514,1.012,5519.0,0.919,-0.15181,0.023,300.384,159.31431,-27.44257,Gas-giant,0.6368492459911697,1.523295936302405,0.8322600291593212,1.4647871053518275,Too_hot,0.7856600291593212,-249.3967738056559,94.16801214261093,-138.4347577757826,324.6520627609548
HAT-P-26 b,HAT-P-26,7.06167,22.2481,0.3483673411162661,0.05319712557223577,4.23452,1.12,5079.0,0.87,-0.34555999713048846,0.12,141.837,346.51303,59.87255,Gas-giant,0.5184756027592554,1.2666375164151278,0.6826908764995888,1.2179759763944715,Too_hot,0.629493750927353,69.22830922995571,-16.603596399262067,122.67638875012598,159.46437311979545
HAT-P-27 b,HAT-P-27,11.43,197.05,0.7276198020203307,0.04,3.039577,0.916,5316.0,0.864673,-0.26926,0.0,199.173,1.68335,54.544,Gas-giant,0.5608466141704779,1.3545500055001254,0.7357372556711472,1.3025173986855871,Too_hot,0.6957372556711472,115.48593281449685,3.3939532939119426,162.2386030881808,336.2172699019649
HAT-P-28 b,HAT-P-28,13.585,198.953,0.44,0.0434,3.257215,1.025,5680.0,1.103,0.053,0.051,401.319,123.06375,-28.1432,Gas-giant,0.8009726593458643,1.9015077508110394,1.0432207670973181,1.8284775812580012,Too_hot,0.9998207670973182,-193.06240741955358,296.5671099701049,-189.29288387666875,599.8194454505286
HAT-P-29 b,HAT-P-29,13.11453,279.6904,0.6837323508845423,0.07087517485818522,5.72319,1.45,6087.0,1.3,0.31778855794359095,0.09,313.576,135.4706,-9.10798,Gas-giant,1.0689117301372437,2.4921238680487465,1.3790263113935812,2.396427100420727,Too_hot,1.308151136535396,-220.72690198313893,217.13047105465154,-49.63769793726258,413.80932324177536
HAT-P-3 b,HAT-P-3,10.53646,206.5895,0.9738472405932683,0.040577320702986676,2.8997,1.06,5185.0,0.87,-0.30967780554464003,0.0,134.554,100.16678,66.69255,Gas-giant,0.5381217694912209,1.3079027791131301,0.7074543313377664,1.257658686732673,Too_hot,0.6668770106347797,-9.397308943089598,52.40235634533362,123.57371302216666,297.68397730992234
HAT-P-30 b,HAT-P-30,16.14096,263.7989,0.3459008731249644,0.045108248121794904,2.8106,1.55,6304.0,1.31,0.385296055555408,0.04,213.985,217.41185,21.40542,Gas-giant,1.1456895416786528,2.6474554016816345,1.470127346751022,2.545802521020228,Too_hot,1.4250190986292273,-158.24189893251238,-121.03693422792254,78.09700506381859,1193.3947810886923
HAT-P-31 b,HAT-P-31,12.21781,721.4741,2.1812598503872964,0.06266092691356813,5.00542,1.31,6065.0,1.39,0.36964146763644107,0.25,344.05,52.72026,21.06338,Icy-Solid,1.1356477374662315,2.650192087192224,1.4659139708210995,2.548424640963468,Too_hot,1.4032530439075315,194.46938111658787,255.4648968108607,123.65172382764261,596.5513568246874
HAT-P-32 b,HAT-P-32,22.19382,216.1244,0.108,0.03397,2.1500082,1.132,6001.0,1.367,0.33806,0.159,289.205,135.69851,-14.37306,Gas-giant,1.0978700800006123,2.5690878227754195,1.4193568394613039,2.470432179605203,Too_hot,1.3853868394613038,-200.49829177988354,195.66826736734274,-71.79064119932872,1887.421536431979
HAT-P-33 b,HAT-P-33,20.73665,292.4036,0.1808146788328906,0.05481451048816593,3.47447,1.82,6446.0,1.79,0.6951559129829331,0.0,396.11,185.30741,22.73004,Gas-giant,1.628226062322516,3.741934372649803,2.0818911906690865,3.598264765825287,Too_hot,2.0270766801809206,-363.78003418877194,-33.79430616066385,153.0528134231293,1649.5475263592919
HAT-P-34 b,HAT-P-34,13.417173,1058.3739,2.5,0.06774,5.452654,1.392,6442.0,1.53,0.5577543898877719,0.432,249.325,58.54106,-8.75906,Icy-Solid,1.3901991582296922,3.1953892808721727,1.7777216894205856,3.072703813724403,Too_hot,1.7099816894205857,128.6020493735493,210.1974444280455,-37.96712891228285,787.1617911481775
HAT-P-35 b,HAT-P-35,14.930388,335.62848,0.55,0.04978,3.646706,1.236,6096.0,1.435,0.4061722817840823,0.02,506.965,218.07385,20.30811,Gas-giant,1.1829884195492006,2.7570390095118626,1.5258617245402277,2.6511699690264914,Too_hot,1.4760817245402278,-374.28365769369447,-293.2001243520988,175.95153278202255,1028.1642456734369
HAT-P-37 b,HAT-P-37,13.204,371.528,0.89,0.0379,2.797436,0.929,5500.0,0.877,-0.208,0.058,390.594,81.20831,19.98353,Gas-giant,0.5974122479539001,1.4302492855537245,0.7810179998186427,1.3753138144434853,Too_hot,0.7431179998186427,56.104920243007975,362.76374023223565,133.48550308271214,431.2425248200593
HAT-P-38 b,HAT-P-38,9.247,84.857,0.59,0.0523,4.640382,0.886,5330.0,0.923,-0.208,0.067,255.206,144.22935,-26.87267,Gas-giant,0.6014953217677773,1.451747494212892,0.7888677992159389,1.395981612742495,Too_hot,0.7365677992159388,-184.70454069574618,133.06933804600806,-115.35547821569057,226.4626694342397
